finding_key,column,n_labeled,n_pos,n_neg,auc
胰腺_围脂肪间隙模糊,胰腺_围脂肪间隙模糊 (Pancreas_Blurring of peripancreatic fat planes),3,3,0,
胰腺_胰腺饱满,胰腺_胰腺饱满 (Pancreas_Enlargement),3,2,1,1.0
膀胱_膀胱壁毛糙,膀胱_膀胱壁毛糙 (Bladder_Wall irregularity),3,0,3,
主动脉_主动脉夹层,主动脉_主动脉夹层 (Aorta_Aortic dissection),2,0,2,
主动脉_主动脉瘤,主动脉_主动脉瘤 (Aorta_Aortic aneurysm),2,0,2,
大肠_脂肪间隙模糊,大肠_脂肪间隙模糊 (Large bowel_Blurring of fat planes),2,2,0,
小肠_系膜淋巴结肿大,小肠_系膜淋巴结肿大 (Small bowel_Mesenteric lymphadenopathy),2,0,2,
肋骨_骨折,肋骨_骨折 (Rib_Fracture),2,0,2,
胆囊_胆囊癌,胆囊_胆囊癌 (Gallbladder_Gallbladder cancer),2,0,2,
门静脉_增宽,门静脉_增宽 (Portal vein_Dilatation),2,1,1,1.0
主动脉_钙化,主动脉_钙化 (Aorta_Calcification),1,0,1,
十二指肠_占位,十二指肠_占位 (Duodenum_Mass),1,0,1,
十二指肠_梗阻,十二指肠_梗阻 (Duodenum_Obstruction),1,0,1,
大肠_急慢性（结）肠炎,大肠_急慢性（结）肠炎 (Large bowel_Colitis),1,1,0,
大肠_肠壁毛糙,大肠_肠壁毛糙 (Large bowel_Wall irregularity),1,0,1,
大肠_肠憩室,大肠_肠憩室 (Large bowel_Diverticulum),1,1,0,
小肠_积气积液,小肠_积气积液 (Small bowel_Gas and fluid accumulation),1,1,0,
小肠_系膜指膜炎,小肠_系膜指膜炎 (Small bowel_Mesenteric panniculitis),1,0,1,
小肠_肠壁增厚,小肠_肠壁增厚 (Small bowel_Wall thickening),1,1,0,
小肠_（急慢性）小肠炎,小肠_（急慢性）小肠炎 (Small bowel_Enteritis),1,1,0,
肋骨_转移瘤（乳腺癌 骨转移）,肋骨_转移瘤（乳腺癌 骨转移） (Rib_Metastasis),1,0,1,
肝_肝内胆管结石,肝_肝内胆管结石 (Liver_Hepatolithiasis),1,0,1,
肝_胆管癌,肝_胆管癌 (Liver_Intrahepatic cholangiocarcinoma),1,1,0,
肝_边缘不规则,肝_边缘不规则 (Liver_Irregular margin),1,0,1,
肺_气胸,肺_气胸 (Lung_Pneumothorax),1,0,1,
肺_膨胀不全,肺_膨胀不全 (Lung_Atelectasis),1,1,0,
肾_多囊肾,肾_多囊肾 (Kidney_Polycystic kidney disease),1,1,0,
肾_肾细胞癌（透明细胞癌）,肾_肾细胞癌（透明细胞癌） (Kidney_Renal cell carcinoma),1,0,1,
肾_高密度影,肾_高密度影 (Kidney_Hyperattenuating lesion),1,1,0,
胆囊_胆囊腺肌症,胆囊_胆囊腺肌症 (Gallbladder_Adenomyomatosis),1,0,1,
胆囊_胆管结石,胆囊_胆管结石 (Gallbladder_Extrahepatic bile duct stone),1,0,1,
胰腺_胰周假性囊肿,胰腺_胰周假性囊肿 (Pancreas_Peripancreatic pseudocyst),1,0,1,
脾_脾脏淋巴瘤,脾_脾脏淋巴瘤 (Spleen_Lymphoma),1,0,1,
膀胱_膀胱炎,膀胱_膀胱炎 (Bladder_Cystitis),1,0,1,
膀胱_软组织密度影,膀胱_软组织密度影 (Bladder_Soft-tissue attenuation lesion),1,0,1,
